mohaksr@src:~$ iperf3 -c dstn -t 60 -C reno
Connecting to host dstn, port 5201
[  4] local 10.0.2.1 port 54594 connected to 10.0.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  13.6 MBytes   114 Mbits/sec   87    204 KBytes       
[  4]   1.00-2.00   sec  9.69 MBytes  81.3 Mbits/sec    0    126 KBytes       
[  4]   2.00-3.00   sec  11.4 MBytes  95.4 Mbits/sec    0    221 KBytes       
[  4]   3.00-4.00   sec  9.69 MBytes  81.3 Mbits/sec    0    153 KBytes       
[  4]   4.00-5.00   sec  11.4 MBytes  95.4 Mbits/sec    0    225 KBytes       
[  4]   5.00-6.00   sec  9.69 MBytes  81.3 Mbits/sec    0    175 KBytes       
[  4]   6.00-7.00   sec  11.3 MBytes  94.9 Mbits/sec    0    143 KBytes       
[  4]   7.00-8.00   sec  11.4 MBytes  95.9 Mbits/sec    0    230 KBytes       
[  4]   8.00-9.00   sec  9.63 MBytes  80.8 Mbits/sec    0    165 KBytes       
[  4]   9.00-10.00  sec  11.4 MBytes  95.4 Mbits/sec    0    133 KBytes       
[  4]  10.00-11.00  sec  11.4 MBytes  95.4 Mbits/sec    0    225 KBytes       
[  4]  11.00-12.00  sec  11.4 MBytes  95.4 Mbits/sec    0    201 KBytes       
[  4]  12.00-13.00  sec  9.69 MBytes  81.3 Mbits/sec    0    122 KBytes       
[  4]  13.00-14.00  sec  11.4 MBytes  95.4 Mbits/sec    0    219 KBytes       
[  4]  14.00-15.00  sec  11.3 MBytes  94.9 Mbits/sec    0    194 KBytes       
[  4]  15.00-16.00  sec  11.4 MBytes  95.4 Mbits/sec    0    165 KBytes       
[  4]  16.00-17.00  sec  10.8 MBytes  90.7 Mbits/sec    0   72.1 KBytes       
[  4]  17.00-18.00  sec  10.3 MBytes  86.0 Mbits/sec    0    187 KBytes       
[  4]  18.00-19.00  sec  9.94 MBytes  83.4 Mbits/sec    0    100 KBytes       
[  4]  19.00-20.00  sec  11.1 MBytes  92.8 Mbits/sec    0    205 KBytes       
[  4]  20.00-21.00  sec  9.69 MBytes  81.3 Mbits/sec    0    129 KBytes       
[  4]  21.00-22.00  sec  11.4 MBytes  95.4 Mbits/sec    0    222 KBytes       
[  4]  22.00-23.00  sec  9.69 MBytes  81.3 Mbits/sec    0    154 KBytes       
