mohaksr@src:~$ iperf3 -c dstn -t 60 -C reno
Connecting to host dstn, port 5201
[  4] local 10.0.2.1 port 54598 connected to 10.0.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  6.31 MBytes  53.0 Mbits/sec    0   52.3 KBytes       
[  4]   1.00-2.00   sec  7.27 MBytes  61.0 Mbits/sec    0   65.0 KBytes       
[  4]   2.00-3.00   sec  7.58 MBytes  63.6 Mbits/sec    0   38.2 KBytes       
[  4]   3.00-4.00   sec  6.96 MBytes  58.4 Mbits/sec    0    110 KBytes       
[  4]   4.00-5.00   sec  6.71 MBytes  56.3 Mbits/sec    0   84.8 KBytes       
[  4]   5.00-6.00   sec  7.58 MBytes  63.6 Mbits/sec    0   97.6 KBytes       
[  4]   6.00-7.00   sec  7.64 MBytes  64.1 Mbits/sec    0    109 KBytes       
[  4]   7.00-8.00   sec  6.84 MBytes  57.3 Mbits/sec    0   82.0 KBytes       
[  4]   8.00-9.00   sec  7.95 MBytes  66.7 Mbits/sec    0   86.3 KBytes       
[  4]   9.00-10.00  sec  7.58 MBytes  63.6 Mbits/sec    0   97.6 KBytes       
[  4]  10.00-11.00  sec  7.71 MBytes  64.6 Mbits/sec    0    107 KBytes       
[  4]  11.00-12.00  sec  7.52 MBytes  63.1 Mbits/sec    0   62.2 KBytes       
[  4]  12.00-13.00  sec  7.21 MBytes  60.5 Mbits/sec    0   77.8 KBytes       
[  4]  13.00-14.00  sec  7.71 MBytes  64.6 Mbits/sec    0   87.7 KBytes       
[  4]  14.00-15.00  sec  6.71 MBytes  56.3 Mbits/sec    0   69.3 KBytes       
[  4]  15.00-16.00  sec  6.65 MBytes  55.8 Mbits/sec    0    115 KBytes       
[  4]  16.00-17.00  sec  6.90 MBytes  57.9 Mbits/sec    0   86.3 KBytes       
[  4]  17.00-18.00  sec  6.52 MBytes  54.7 Mbits/sec    0   38.2 KBytes       
[  4]  18.00-19.00  sec  6.34 MBytes  53.2 Mbits/sec    0   70.7 KBytes       
[  4]  19.00-20.00  sec  7.33 MBytes  61.5 Mbits/sec    0   86.3 KBytes       
